Post id,Date,Post text,Post Link,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Replies,Reposts,Profile visits,Detail Expands,URL Clicks,Hashtag Clicks,Permalink Clicks
2087900870323155355,"Thu, Aug 13, 2026",@TheLongInvest This counts when buying but also when you need to sell 🙃,https://x.com/HestysInvest/status/2087900870323155355,242,3,12,0,0,0,2,0,1,6,0,0,0
2087899788079423633,"Thu, Aug 13, 2026","@StockSavvyShay Impressive top line, still very much a “growing on borrowed money” chapter of the story.",https://x.com/HestysInvest/status/2087899788079423633,578,4,8,0,0,0,1,0,1,2,0,0,0
2087896403670388910,"Thu, Aug 13, 2026","$SMCI after the preliminary Q4 update weeks ago at $30,80. Actual results confirmed it, huge beat, guidance well above expectations. Stock’s up almost 30% since",https://x.com/HestysInvest/status/2087896403670388910,178,1,5,0,0,0,1,0,0,3,0,0,0
2087893785233539187,"Thu, Aug 13, 2026",@unusual_whales Compute demand still outpacing supply for years is the bull case,https://x.com/HestysInvest/status/2087893785233539187,46,0,0,0,0,0,0,0,0,0,0,0,0
2087849415042015722,"Thu, Aug 13, 2026","@0xtechquity Happiest thursday in a while if you’re holding this one 😅 But the move’s solid, not just a euphoric spike, real guidance raise behind it.",https://x.com/HestysInvest/status/2087849415042015722,24,2,5,0,0,0,0,0,2,1,0,0,0
2087815706490310767,"Thu, Aug 13, 2026","$ADYEN Today’s H1 results back this up: revenue guidance raised to 21-23% growth (from 20-22%), H1 net revenue beat at €1.30B. Stock’s up 11.5% today, already through €1000, that level now flips from resistance to support.",https://x.com/HestysInvest/status/2087815706490310767,321,0,2,0,0,0,0,0,0,1,0,0,0
2087775736539070868,"Thu, Aug 13, 2026","🚨You now get notified when a sector moves more than 10% in a month, for both 🇪🇺EU and 🇺🇸US. First one that popped up: European Basic Resources, yesterday at +11.2%. This sector's up 55% over the past year. Names like $ANTO (Antofagasta, near 52-week highs on record copper https://t.co/aMpZnW3Evg",https://x.com/HestysInvest/status/2087775736539070868,521,0,5,0,0,0,0,0,0,3,0,0,0
2087587858752143491,"Wed, Aug 12, 2026","$INFQ reports today. What I'm watching: Management previously signaled at least $40M in 2026 revenue, with room for a guidance upgrade The quantum-expansion story: a new Chicago innovation center A planned neutral-atom quantum computer deployment by 2027 Analyst average price",https://x.com/HestysInvest/status/2087587858752143491,247,0,1,0,0,0,0,0,1,0,0,0,0
2087512939473330634,"Wed, Aug 12, 2026",@TheLongInvest Might be time for an Inverse-Burry ETF? 😅,https://x.com/HestysInvest/status/2087512939473330634,204,1,8,0,0,0,4,0,2,1,0,0,0
2087512543098962214,"Wed, Aug 12, 2026","@unusual_whales This is the third upward revision this year, $60B (late 2025) to $120B (May) to now $220B (July), all in about 8 months.",https://x.com/HestysInvest/status/2087512543098962214,131,0,0,0,0,0,0,0,0,0,0,0,0
2087498033902637401,"Wed, Aug 12, 2026",@BrianFeroldi It's all manipulated 😂,https://x.com/HestysInvest/status/2087498033902637401,32,0,1,0,0,0,0,0,1,0,0,0,0
2087490563826233425,"Wed, Aug 12, 2026","@StockSavvyShay The scale problem this solves is wild! A single 1GW data center at the old 54V standard would need up to 200,000kg of copper busbar alone. Worth knowing this isn't $NVDA going solo either, $GOOGL is co-leading the push.",https://x.com/HestysInvest/status/2087490563826233425,470,2,6,0,0,0,0,0,2,2,0,0,0
2087486390007120065,"Wed, Aug 12, 2026","@WatcherGuru Fidelity's joining Grayscale, 21Shares and VanEck here. This follows an IRS safe harbor from November 2025 that lets these trusts stake without losing their tax status. Fidelity keeps 85% of staking rewards, 15% goes to the sponsor/custodians/node operators.",https://x.com/HestysInvest/status/2087486390007120065,371,3,8,0,0,0,0,0,5,0,0,0,0
2087411815923745130,"Wed, Aug 12, 2026","📆 CPI drops today at 14:30 CEST. Consensus: +0.1-0.2% month-over-month, annual rate expected to tick down to 3.4% from 3.5%. The real stakes: CME FedWatch currently has September rate hike odds at a coin flip, 50-50. A hot print pushes that higher, meaning pricier borrowing, a",https://x.com/HestysInvest/status/2087411815923745130,63,0,0,0,0,0,0,0,0,0,0,0,0
2087257367473688776,"Tue, Aug 11, 2026","🚨I've added a new feature! On the sector&amp;themes page you can now see a chart which you can filter however you like it You can use this info to early spot a reversal. For example when the semis ($SNDK, $MU) dropped bigtime on the 29th of july. You also get notificated when a https://t.co/xEgy0ZGsKF",https://x.com/HestysInvest/status/2087257367473688776,100,0,8,1,0,0,0,0,1,2,3,0,0
2087188446737576276,"Tue, Aug 11, 2026","@TheValueTrade Joined you on this one with the first batch after a very positive deepdive.. Let’s see if we get more time below $3,90 to accumulate.. $GRAB https://t.co/HWelSAVI48",https://x.com/HestysInvest/status/2087188446737576276,207,0,6,0,0,0,0,0,0,4,0,0,0
2087177687727067359,"Tue, Aug 11, 2026","@WatcherGuru This isn’t hype, it’s the world’s largest asset manager rewriting the plumbing of finance. Winners? $BLK (more products, more fees, new distribution) Ethereum (still the institutional default) solana:So11111111111111111111111111111111111111112 (already hosting BUIDL + the",https://x.com/HestysInvest/status/2087177687727067359,492,1,1,0,0,0,0,0,0,0,0,0,0
2087133967392616665,"Tue, Aug 11, 2026",@NotA_Bull But where’s the fun in that? 😮 I didn’t come here for boring diversified returns… I came here for the emotional damage of watching one stock decide my entire mood for the week. 😃,https://x.com/HestysInvest/status/2087133967392616665,411,7,16,0,0,0,3,0,4,2,0,0,0
2087113488896336063,"Tue, Aug 11, 2026","@TheLongInvest $ZETA ’s post-ER reversal was textbook. $HIMS is setting up the same way, but with a cleaner catalyst stack: solid beat + guidance + the peptides green light now fully priced in.-6% PM feels more like the last shakeout than actual weakness. Once the algos finish their morning",https://x.com/HestysInvest/status/2087113488896336063,404,1,6,0,0,0,2,0,1,2,0,0,0
2087072532306203005,"Tue, Aug 11, 2026","$VRTX is breaking out on the monthly chart. Recent fundamentals supporting the move: • Q2 revenue +12% to $3.33B, FY26 guidance raised to $13.1–$13.2B • Continued strength in the CF franchise (Alyftrek + Trikafta) • Growing contributions from Casgevy and Journavx • $10B https://t.co/PwnOA7ZBPS",https://x.com/HestysInvest/status/2087072532306203005,108,0,1,0,0,0,0,0,0,0,0,0,0
2086911550888051054,"Mon, Aug 10, 2026","My $HIMS Q2 earnings take: The GLP-1 pivot is working. Domestic growth re-accelerated meaningfully and international is scaling fast after Eucalyptus. Management raised the full-year outlook and sounded more confident on the 2030 targets.Still, margins remain under pressure",https://x.com/HestysInvest/status/2086911550888051054,222,0,8,0,0,0,0,0,0,8,0,0,0
2086836642543706166,"Mon, Aug 10, 2026","$USA.TO reports Q2 earnings in 2 days. Already know the operational side looks strong: record Q2 silver production (665K oz) at a realized price of $67/oz, full-year guidance of 3.2-3.6M oz still on track. Chart-wise, it just broke a descending trendline on the weekly. I'm https://t.co/MEzUMgJRKL",https://x.com/HestysInvest/status/2086836642543706166,300,0,10,0,0,0,0,0,1,1,0,0,0
2086832796287332547,"Mon, Aug 10, 2026",@alc2022 https://t.co/1TdolZTTUi,https://x.com/HestysInvest/status/2086832796287332547,287,0,0,0,0,0,0,0,0,0,0,0,0
2086810364977545667,"Mon, Aug 10, 2026","@fundmyfund might be worth re-adding around that $10,50 area.. luckely i sold a chunk around 20$",https://x.com/HestysInvest/status/2086810364977545667,48,1,7,0,0,0,1,0,1,4,0,0,0
2086799366057013580,"Mon, Aug 10, 2026","@growthrapidly I'm not a shareholder, I'm just following with a lot of interest!",https://x.com/HestysInvest/status/2086799366057013580,30,0,3,0,0,0,1,0,1,1,0,0,0
2086797476829204801,"Mon, Aug 10, 2026","@growthrapidly This is after the positive Phase 2 data on ABCL635, their non-hormonal antibody for menopause hot flashes crushed it on both frequency and severity. That’s a clean clinical win and a big step for their first major internal pipeline asset. Biotech loves a good catalyst day like",https://x.com/HestysInvest/status/2086797476829204801,182,2,10,0,0,0,1,0,4,3,0,0,0
2086793512247320654,"Mon, Aug 10, 2026","@himshouse Worth adding tonight’s specific setup: options are pricing a 14.5-15.2% move, above that 10.1% historical average.",https://x.com/HestysInvest/status/2086793512247320654,797,0,5,0,0,0,1,0,2,2,0,0,0
2086761825706672191,"Mon, Aug 10, 2026","@alc2022 If anything I only ever tap out too early on the way up, never on the way down. 😂",https://x.com/HestysInvest/status/2086761825706672191,311,1,5,0,0,0,0,0,3,1,0,0,0
2086760438725784058,"Mon, Aug 10, 2026","@NotA_Bull True in theory, though worth the reminder that most equity is illiquid and time-locked too, you’re trading your time now for the option to have it back later, not an instant swap. The freedom shows up on a delay, and the delay is usually longer than people plan for.",https://x.com/HestysInvest/status/2086760438725784058,54,1,2,0,0,0,0,0,0,1,0,0,0
2086694293977047143,"Mon, Aug 10, 2026","$CPRT flipped onto this week’s Snowballers scan, and there’s a real story behind it, not just a value screen. Founder Jay Adair returned as CEO on July 31st after investor concerns over slowing growth. Stock’s down 36-38% over the past year, but the moat (dominant online https://t.co/WyTWVNOErC",https://x.com/HestysInvest/status/2086694293977047143,185,0,6,0,0,0,0,0,1,5,0,0,0
