Datum,Tijd,Product,ISIN,Beurs,Uitvoeringsplaats,Aantal,Koers,,Lokale waarde,,Waarde EUR,Wisselkoers,AutoFX Kosten,Transactiekosten en/of kosten van derden EUR,Totaal EUR,Order ID,
06-11-2025,16:27,DUOLINGO INC CLASS A,US26603R1068,NDQ,BATS,2,"185,0000",USD,"-370,00",USD,"-320,85","1,1532","-0,80","-2,00","-323,65",48c198b4-e918-4734-97f3-9a78ccf086a2
04-11-2025,15:36,AST SPACEMOBILE INC CLASS A,US00217D1000,NDQ,EDGX,-15,"68,0000",USD,"1020,00",USD,"888,82","1,1476","-2,22","-2,00","884,59",02d182a9-8414-4579-837e-05c1d57423b0
04-11-2025,15:31,STRATEGY INC CLASS A,US5949724083,NDQ,SOHO,-3,"256,1900",USD,"768,57",USD,"669,55","1,1479","-1,67","-2,00","665,87",7f6b6473-9fdb-49f9-9180-5f3b86fbcf28
31-10-2025,15:19,AST SPACEMOBILE INC CLASS A,US00217D1000,NDQ,ARCX,13,"79,4100",USD,"-1032,33",USD,"-895,27","1,1531","-2,24",,"-897,51",568a1dbc-9751-432b-a88d-21227a5f87b3
31-10-2025,15:19,AST SPACEMOBILE INC CLASS A,US00217D1000,NDQ,ARCX,2,"79,4000",USD,"-158,80",USD,"-137,72","1,1531","-0,34","-2,00","-140,06",568a1dbc-9751-432b-a88d-21227a5f87b3
31-10-2025,15:08,STRATEGY INC CLASS A,US5949724083,NDQ,ARCX,3,"270,0000",USD,"-810,00",USD,"-702,15","1,1536","-1,76","-2,00","-705,91",4b2d8477-77e1-4bed-9ba6-7d80b40f5f45
31-10-2025,09:59,VANECK MS DEVELOPED MARKETS DIV LEAD UCITS ETF,NL0011683594,EAM,XAMS,3,"45,0950",EUR,"-135,28",EUR,"-135,28",,"0,00",,"-135,28",a007393a-8081-44d0-8cda-158217ee3297
31-10-2025,09:49,VANECK MS DEVELOPED MARKETS DIV LEAD UCITS ETF,NL0011683594,EAM,XAMS,3,"45,0950",EUR,"-135,28",EUR,"-135,28",,"0,00","-3,00","-138,28",a007393a-8081-44d0-8cda-158217ee3297
29-10-2025,15:32,CLEANSPARK INC,US18452B2097,NDQ,XNAS,-50,"19,2500",USD,"962,50",USD,"826,68","1,1643","-2,07","-2,00","822,62",770aa5c6-a421-416c-8c36-c241077e3600
29-10-2025,15:18,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,CDED,33,"47,2300",USD,"-1558,59",USD,"-1339,35","1,1637","-3,35","-2,00","-1344,70",b9b9d4a2-790a-4ef7-9848-f61c545161b0
29-10-2025,14:55,CLEANSPARK INC,US18452B2097,NDQ,EDGX,50,"20,0500",USD,"-1002,50",USD,"-861,48","1,1637","-2,15","-2,00","-865,64",c1c72712-64c6-4c5a-90e6-b9585b990cbd
28-10-2025,20:18,CLEANSPARK INC,US18452B2097,NDQ,BATS,-60,"19,7400",USD,"1184,40",USD,"1015,44","1,1664","-2,54","-2,00","1010,90",fbfb318c-e1d5-47d1-b04a-d70047145f0b
28-10-2025,15:47,TESLA INC,US88160R1014,NDQ,BATS,-2,"462,5000",USD,"925,00",USD,"793,45","1,1658","-1,98","-2,00","789,47",e8ac91ab-cab3-4a30-afc0-b5a4ac221e7a
28-10-2025,14:33,CLEANSPARK INC,US18452B2097,NDQ,BATS,60,"20,4400",USD,"-1226,40",USD,"-1054,43","1,1631","-2,64","-2,00","-1059,07",5862f948-fa7f-4bd3-a789-6f378dd1b10d
27-10-2025,16:02,CLEANSPARK INC,US18452B2097,NDQ,ARCX,-1,"19,6500",USD,"19,65",USD,"16,88","1,1640","-0,04",,"16,84",a6bcd705-6d1f-49f1-824e-76cbccb71ca1
27-10-2025,16:02,CLEANSPARK INC,US18452B2097,NDQ,ARCX,-58,"19,6500",USD,"1139,70",USD,"979,13","1,1640","-2,45",,"976,68",a6bcd705-6d1f-49f1-824e-76cbccb71ca1
27-10-2025,16:01,CLEANSPARK INC,US18452B2097,NDQ,ARCX,-1,"19,6500",USD,"19,65",USD,"16,88","1,1640","-0,04","-2,00","14,84",a6bcd705-6d1f-49f1-824e-76cbccb71ca1
27-10-2025,15:18,TESLA INC,US88160R1014,NDQ,BATS,3,"447,5000",USD,"-1342,50",USD,"-1153,75","1,1636","-2,88","-2,00","-1158,64",406cbecd-9809-4273-ae33-7c66ce3ca8d7
24-10-2025,21:40,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,XNAS,-25,"49,0800",USD,"1227,00",USD,"1055,22","1,1628","-2,64","-2,00","1050,58",840c2e77-911d-45e0-baa9-20a819a39d61
24-10-2025,16:06,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,BATS,25,"50,2500",USD,"-1256,25",USD,"-1080,74","1,1624","-2,70","-2,00","-1085,45",64b3291c-c715-42b7-86c4-8acef471f8a4
24-10-2025,15:55,CLEANSPARK INC,US18452B2097,NDQ,JNST,60,"18,7292",USD,"-1123,75",USD,"-966,67","1,1625","-2,42","-2,00","-971,09",97f0611d-8190-4b62-9b9e-ec0034b1a294
